,keyword,identity,general,labeller,label
190,ladyboy,1,0,A2,identity
191,chicks with dicks,1,0,A2,identity
192,quean,1,0,A2,identity
193,she-man,1,0,A2,identity
194,shithead,0,1,A0,general
195,fannyfucker,0,1,A2,general
196,goatse,1,0,A2,identity
197,s hit,0,1,A0,general
198,hoar,1,0,A2,identity
199,slave,1,0,A0,identity
200,cumming,0,1,A0,general
201,muthafuckker,0,1,A2,general
202,fagot,1,0,A0,identity
203,b17ch,0,1,A2,general
204,soup taker,1,0,A2,identity
205,niggers,1,0,A2,identity
206,trailer park trash,1,0,A2,identity
207,a white trash,0,1,A2,general
208,is a fuckin,0,1,A0,general
209,pissed,0,1,A0,general
210,nob,0,1,A0,general
211,jungle bunny,1,0,A2,identity
212,cunts,1,0,A0,identity
213,many niggers are in,1,0,A2,identity
214,fag and,1,0,A2,identity
215,a white person,1,0,A2,identity
216,jizm,0,1,A2,general
217,ejaculate,0,1,A0,general
218,knobed,1,0,A2,identity
219,inbred,1,0,A0,identity
220,fuck,0,1,A0,general
221,of white,1,0,A0,identity
222,chink eyed,1,0,A2,identity
223,fook,0,1,A0,general
224,shit,0,1,A0,general
225,white boy,1,0,A0,identity
226,here faggot,1,0,A2,identity
227,asshole,0,1,A0,general
228,fukkin,0,1,A0,general
229,be killed,0,1,A0,general
230,faggot and,1,0,A2,identity
231,raped and,1,0,A2,identity
232,your bitch in,0,1,A2,general
233,dildos,0,1,A0,general
234,shorty bitch,0,1,A2,general
235,niggaz,1,0,A0,identity
236,pussys,0,1,A0,general
237,fanny,1,0,A0,identity
238,masturbate,0,1,A0,general
239,phuck,0,1,A0,general
240,bollock,0,1,A0,general
241,cox,0,1,A0,general
242,you a fag,1,0,A2,identity
243,nigger music,1,0,A2,identity
244,faggot that,1,0,A2,identity
245,son-of-a-bitch,0,1,A2,general
246,dildo,0,1,A0,general
247,this nigger,1,0,A2,identity
248,jizz,0,1,A0,general
249,cocks,0,1,A0,general
250,hell,0,1,A0,general
251,wank,0,1,A0,general
252,coksucka,1,0,A2,identity
253,cuntlicker,1,0,A2,identity
254,fucks,0,1,A0,general
255,get raped,0,1,A0,general
256,faggots usually have,1,0,A2,identity
257,bi+ch,0,1,A2,general
258,dyke,1,0,A0,identity
259,muthafecker,0,1,A2,general
260,smut,0,1,A2,general
261,fucking gay,1,0,A0,identity
262,hore,0,1,A2,general
263,how many niggers are,1,0,A2,identity
264,knobead,0,1,A2,general
265,motherfucks,0,1,A2,general
266,tit,0,1,A0,general
267,shagger,0,1,A0,general
268,pussi,0,1,A2,general
269,cocksukka,0,1,A2,general
270,cockface,0,1,A2,general
271,smegma,0,1,A2,general
272,scrotum,0,1,A0,general
273,faggots and,1,0,A2,identity
274,white bitch in,1,0,A2,identity
275,fudge packer,0,1,A2,general
276,cummer,0,1,A0,general
277,spunk,0,1,A0,general
278,niggers,1,0,A0,identity
279,hate faggots,1,0,A2,identity
280,pussies,0,1,A0,general
281,faggots like you,1,0,A2,identity
282,is a fag,1,0,A2,identity
283,donkeyribber,0,1,A2,general
284,all these fucking,0,1,A0,general
285,rube,1,0,A0,identity
286,fagots,1,0,A2,identity
287,rimjaw,0,1,A2,general
288,clit,0,1,A0,general
289,fags are,1,0,A2,identity
290,like a faggot,1,0,A2,identity
291,hillbilly,1,0,A2,identity
292,dumb monkey,0,1,A1,general
293,you fag,1,0,A0,identity
294,is a faggot,1,0,A1,identity
295,fuckme,0,1,A1,general
296,bollok,0,1,A1,general
297,n1gga,1,0,A1,identity
298,hoare,1,0,A1,identity
299,s_h_i_t,0,1,A1,general
300,the faggots,1,0,A1,identity
301,fingerfuck,0,1,A1,general
302,raped,0,1,A0,general
303,faggot bitch,1,0,A0,identity
304,hate you,0,1,A0,general
305,fistfucker,0,1,A1,general
306,little faggot,1,0,A0,identity
307,bellend,0,1,A0,general
308,fuckings,0,1,A0,general
309,horny,0,1,A0,general
310,fingerfucker,0,1,A1,general
311,assfucker,0,1,A1,general
312,ar5e,0,1,A1,general
313,masochist,0,1,A0,general
314,the faggots who,1,0,A1,identity
315,cockmuncher,0,1,A1,general
316,phuks,0,1,A1,general
317,anus,0,1,A0,general
318,cocksucking,0,1,A1,general
319,jerk-off,0,1,A1,general
320,wang,0,1,A0,general
321,m0fo,0,1,A1,general
322,mothafuckin,0,1,A1,general
323,phonesex,0,1,A1,general
324,nobjocky,0,1,A1,general
325,twat,1,0,A0,identity
326,kock,0,1,A1,general
327,jackoff,0,1,A1,general
328,tittiefucker,0,1,A1,general
329,fukwit,0,1,A1,general
330,fucking queer,1,0,A1,identity
331,kill yourself,0,1,A0,general
332,fucked,0,1,A0,general
333,prick,0,1,A0,general
334,assfukka,0,1,A1,general
335,cocksuka,0,1,A1,general
336,fistfucking,0,1,A1,general
337,butt,0,1,A0,general
338,beastiality,0,1,A0,general
339,your a dirty,0,1,A0,general
340,cunillingus,0,1,A1,general
341,tittie5,0,1,A1,general
342,niggers are in my,1,0,A1,identity
343,mothafuckers,0,1,A1,general
344,faggot a,1,0,A1,identity
345,fukker,0,1,A1,general
346,titfuck,0,1,A1,general
347,faggitt,1,0,A1,identity
348,white nigger,1,0,A1,identity
349,arse,0,1,A0,general
350,motherfuck,0,1,A0,general
351,feck,0,1,A0,general
352,titt,0,1,A0,general
353,f u c k,0,1,A0,general
354,rectum,0,1,A0,general
355,shittings,0,1,A1,general
356,a55,0,1,A0,general
357,ejaculates,0,1,A1,general
358,nutsack,0,1,A0,general
359,then faggot,1,0,A1,identity
360,pigfucker,0,1,A1,general
361,dick,0,1,A0,general
362,bitchin,0,1,A0,general
363,wit a lame nigga,1,0,A1,identity
364,shag,0,1,A0,general
365,mofo,0,1,A0,general
366,arrse,0,1,A1,general
367,mother fucker,0,1,A0,general
368,bunny fucker,0,1,A1,general
369,redneck,1,0,A1,identity
370,ejaculated,0,1,A0,general
371,twunter,0,1,A1,general
372,scroat,1,0,A1,identity
373,shaggin,0,1,A0,general
374,cuntlicking,0,1,A1,general
375,whoar,0,1,A1,general
376,cokmuncher,0,1,A1,general
377,twathead,0,1,A1,general
378,my coon,1,0,A1,identity
379,fuckingshitmotherfucker,0,1,A1,general
380,sh!+,0,1,A1,general
381,mothafuckaz,0,1,A1,general
382,teez,0,1,A1,general
383,fistfuckers,0,1,A1,general
384,shagging,0,1,A0,general
385,him a nigga,1,0,A1,identity
386,bitches,1,0,A0,identity
387,fcuk,0,1,A0,general
388,gaylord,1,0,A1,identity
389,snatch,1,0,A0,identity
390,l3itch,0,1,A1,general
391,coon shit,0,1,A1,general
392,schlong,0,1,A1,general
393,plastic paddy,1,0,A1,identity
394,a fag and,1,0,A1,identity
395,fagging,1,0,A1,identity
396,a bitch made,0,1,A1,general
397,cunilingus,0,1,A1,general
398,chinks in,1,0,A1,identity
399,b!tch,1,0,A0,identity
400,mothafuck,0,1,A1,general
401,ass,0,1,A0,general
402,kawk,0,1,A1,general
403,butt ugly,0,1,A1,general
404,with niggas,1,0,A1,identity
405,twatty,0,1,A1,general
406,bitchers,0,1,A1,general
407,bestiality,0,1,A1,general
408,nigger is,1,0,A1,identity
409,masterbat*,0,1,A1,general
410,niggers are in,1,0,A1,identity
411,ejaculatings,0,1,A1,general
412,his shorty bitch,0,1,A1,general
413,screwing,0,1,A0,general
414,cocksucker,1,0,A0,identity
415,faggs,1,0,A1,identity
416,tittyfuck,0,1,A1,general
417,cipa,0,1,A1,general
418,clitoris,0,1,A0,general
419,still a faggot,1,0,A4,identity
420,motherfuckin,0,1,A4,general
421,me faggot,1,0,A4,identity
422,fuckin faggot,1,0,A4,identity
423,a nigga ask,1,0,A4,identity
424,that faggot,1,0,A4,identity
425,faggots usually,1,0,A4,identity
426,mothafucker,0,1,A4,general
427,fuck outta here,0,1,A4,general
428,white trash and,1,0,A4,identity
429,5h1t,0,1,A0,general
430,sideways pussy,1,0,A4,identity
431,shitdick,1,0,A4,identity
432,fuk,0,1,A0,general
433,shited,0,1,A4,general
434,motherfuckers,0,1,A0,general
435,savages,1,0,A0,identity
436,mo-fo,0,1,A4,general
437,nob jokey,1,0,A4,identity
438,turd,0,1,A0,general
439,zionazi,1,0,A4,identity
440,camel fucker,1,0,A4,identity
441,fannyflaps,0,1,A4,general
442,fecker,0,1,A0,general
443,dickhead,0,1,A0,general
444,fingerfuckers,0,1,A4,general
445,fucking,0,1,A0,general
446,fistfuck,0,1,A4,general
447,all niggers,1,0,A4,identity
448,fucking hate you,0,1,A4,general
449,niggers are,1,0,A4,identity
450,piss,0,1,A0,general
451,fcuking,0,1,A0,general
452,n1gger,1,0,A0,identity
453,shitters,0,1,A0,general
454,asswhole,0,1,A0,general
455,shite,0,1,A0,general
456,sh1t,0,1,A0,general
457,fuks,0,1,A0,general
458,twunt,1,0,A0,identity
459,yobbo,1,0,A4,identity
460,always fuck,0,1,A0,general
461,5hit,0,1,A4,general
462,blow job,0,1,A0,general
463,you fucking faggot,1,0,A4,identity
464,fux,0,1,A0,general
465,fucking faggot,1,0,A4,identity
466,bum,0,1,A0,general
467,you nigger,1,0,A0,identity
468,cyberfucking,0,1,A4,general
469,fags,1,0,A0,identity
470,shiting,0,1,A4,general
471,knobhead,0,1,A0,general
472,motherfuckings,0,1,A4,general
473,nazi,1,0,A0,identity
474,gangbang,1,0,A0,identity
475,your a cunt,1,0,A0,identity
476,the biggest faggot,1,0,A4,identity
477,felching,1,0,A0,identity
478,you niggers,1,0,A4,identity
479,blowjob,0,1,A0,general
480,cums,0,1,A1,general
481,nigga ask,1,0,A4,identity
